...1,location,continent,total_deaths_per_million,total_vaccinations,people_fully_vaccinated,people_vaccinated,total_tests_per_thousand,gdp_per_capita,extreme_poverty,smoker_total,male_smokers,female_smokers,population,population_density,stringency_index,diabetes_prevalence
1,Paraguay,South America,803.641,102933,12268,90665,145.791,8827.01,1.7,26.6,21.6,5,7219641,17.144,56.48,8.27
2,Kazakhstan,Asia,335.51,1001805,143239,858566,520.479,24055.588,0.1,50.1,43.1,7,18994958,6.681,62.96,7.11
3,Austria,Europe,1113.56,2889137,809363,2079838,3371.537,45436.686,0.7,59.3,30.9,28.4,9043072,106.749,78.7,6.35
4,Croatia,Europe,1669.665,785869,164792,621077,429.287,22669.797,0.7,74.2,39.9,34.3,4081657,73.726,52.78,5.59
5,Ecuador,South America,1015.067,1191264,208382,982882,67.267,10581.936,3.6,14.3,12.3,2,17888474,66.939,75.46,5.55
6,Bulgaria,Europe,2299.521,721170,162765,558405,352.959,18563.307,1.5,74.5,44.4,30.1,6896655,65.18,48.15,5.81
7,Ireland,Europe,977.743,1462304,426517,1035800,880.66,67335.293,0.2,48.7,25.7,23,4982904,69.874,80.56,3.28
8,Norway,Europe,134.66,1570640,326647,1243993,919.539,64800.057,0.2,40.3,20.7,19.6,5465629,14.462,68.52,5.31
9,United States,North America,1715.78,245549882,102887397,147282729,1246.98,54225.446,1.2,43.7,24.6,19.1,332915074,35.608,56.94,10.79
10,Italy,Europe,1971.608,17839782,5240419,12603458,942.338,35220.084,2,47.6,27.8,19.8,60367471,205.859,78.7,4.78
11,Uruguay,South America,655.065,1642515,500718,1141797,493.695,20551.409,0.1,33.9,19.9,14,3485152,19.751,77.78,6.93
12,Israel,Asia,722.43,10405575,5020884,5384691,1786.017,33132.32,0.5,50.8,35.4,15.4,8789776,402.606,58.33,6.74
13,Ukraine,Europe,1009.598,526919,5,526914,211.989,7894.393,0.1,60.9,47.4,13.5,43466822,77.39,70.83,7.11
14,Canada,North America,628.561,11901412,1031604,10869758,806.593,44017.591,0.5,28.6,16.6,12,38067913,4.037,75.46,7.37
15,Lithuania,Europe,1427.954,885086,250353,634685,1030.103,29524.265,0.7,59.3,38,21.3,2689862,45.135,42.59,3.67
16,Denmark,Europe,425.748,1748713,558783,1189930,4492.999,46682.515,0.2,38.1,18.8,19.3,5813302,136.52,62.04,6.41
17,Portugal,Europe,1667.892,3016934,827238,2194275,1012.136,27936.896,0.5,46.3,30,16.3,10167923,112.371,70.37,9.85
18,Chile,South America,1339.866,14153636,6192414,7961222,661.103,22767.037,1.3,75.7,41.5,34.2,19212362,24.282,81.94,8.46
19,Colombia,South America,1382.714,4400615,1391979,3008636,278.498,13254.949,4.5,18.2,13.5,4.7,51265841,44.223,81.48,7.44
20,Argentina,South America,1347.942,7017279,867444,6149835,243.656,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,77.31,5.5
21,Latvia,Europe,1125.375,268548,40091,228508,1159.042,25063.846,0.7,76.6,51,25.6,1866934,31.212,56.48,4.91
22,Panama,North America,1416.611,608957,187660,421297,535.129,22267.037,2.2,12.3,9.9,2.4,4381583,55.133,65.74,8.33
23,Mexico,North America,1649.388,16410034,5830079,12038498,47.826,17336.469,2.5,28.3,21.4,6.9,130262220,66.444,44.44,13.06
24,Malta,Europe,800.678,311559,99574,211985,1664.94,36513.323,0.2,51.1,30.2,20.9,514564,1454.037,71.3,8.83
25,Slovakia,Europe,2098.256,1445401,424043,1021358,6095.093,30155.152,0.7,60.8,37.7,23.1,5460726,113.128,67.59,7.29
26,Malaysia,Asia,43.507,1300267,503481,796786,359.171,26808.164,0.1,43.4,42.4,1,32776195,96.254,61.57,16.74
27,Russia,Europe,727.205,18080498,6767873,11312625,876.122,24765.954,0.1,81.7,58.3,23.4,145912022,8.823,36.57,6.18
28,Estonia,Europe,857.991,408792,105193,310081,961.906,29481.252,0.5,63.8,39.3,24.5,1325188,31.033,61.11,4.02
29,United Kingdom,Europe,1871.799,46309512,12636322,33673190,1933.847,39753.244,0.2,44.7,24.7,20,68207114,272.898,61.11,4.28
30,Turkey,Asia,446.964,21068403,7954030,13114373,536.009,25129.341,0.2,55.2,41.1,14.1,85042736,104.914,83.33,12.13
