"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"1","Europe","Albania",NA,NA,NA,0.003,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"2","Europe","Albania",NA,NA,NA,0.005,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"3","Europe","Albania",NA,NA,NA,0.006,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"4","Europe","Albania",NA,NA,NA,0.006,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"5","Europe","Albania",NA,NA,NA,0.009,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"6","Europe","Albania",NA,NA,NA,0.01,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"7","Europe","Albania",NA,NA,NA,0.011,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"8","Europe","Albania",NA,NA,NA,0.013,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"9","Europe","Albania",NA,NA,NA,0.015,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"10","Europe","Albania",NA,NA,NA,0.017,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"11","Europe","Albania",NA,NA,NA,0.018,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"12","Europe","Albania",NA,NA,NA,0.02,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"13","Europe","Albania",NA,NA,NA,0.021,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"14","Europe","Albania",2,NA,NA,0.027,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"15","Europe","Albania",10,NA,NA,0.04,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"16","Europe","Albania",12,1,0.348,0.055,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"17","Europe","Albania",23,1,0.348,0.104,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"18","Europe","Albania",33,1,0.348,0.159,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"19","Europe","Albania",38,1,0.348,0.176,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"20","Europe","Albania",42,1,0.348,0.185,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"21","Europe","Albania",51,1,0.348,0.196,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"22","Europe","Albania",55,1,0.348,0.211,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"23","Europe","Albania",59,2,0.696,0.231,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"24","Europe","Albania",64,2,0.696,0.243,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"25","Europe","Albania",70,2,0.696,0.255,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"26","Europe","Albania",76,2,0.696,0.271,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"27","Europe","Albania",89,2,0.696,0.282,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"28","Europe","Albania",104,4,1.392,NA,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"29","Europe","Albania",123,5,1.74,NA,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"30","Europe","Albania",146,5,1.74,0.321,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"31","Europe","Albania",174,6,2.088,0.357,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"32","Europe","Albania",186,8,2.785,0.392,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"33","Europe","Albania",197,10,3.481,0.42,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"34","Europe","Albania",212,10,3.481,0.458,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"35","Europe","Albania",223,11,3.829,0.49,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"36","Europe","Albania",243,15,5.221,0.54,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"37","Europe","Albania",259,15,5.221,0.593,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"38","Europe","Albania",277,16,5.569,0.627,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"39","Europe","Albania",304,17,5.917,0.666,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"40","Europe","Albania",333,20,6.962,0.741,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"41","Europe","Albania",361,20,6.962,0.793,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"42","Europe","Albania",377,21,7.31,0.853,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"43","Europe","Albania",383,22,7.658,0.917,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"44","Europe","Albania",400,22,7.658,0.999,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"45","Europe","Albania",409,23,8.006,1.08,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"46","Europe","Albania",416,23,8.006,1.137,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"47","Europe","Albania",433,23,8.006,1.227,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"48","Europe","Albania",446,23,8.006,1.308,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
