"","date","location","continent","total_deaths_per_million","new_deaths","total_vaccinations","people_fully_vaccinated","people_vaccinated","total_tests_per_thousand","gdp_per_capita","extreme_poverty","smoker_total","male_smokers","female_smokers","population","population_density","stringency_index","diabetes_prevalence"
"1",2021-01-20,"Argentina","South America",1013.379,150,247933,4394,243539,131.407,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"2",2021-01-21,"Argentina","South America",1016.427,139,265724,16352,249372,132.501,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"3",2021-01-22,"Argentina","South America",1021.251,220,279602,25146,254456,133.582,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"4",2021-01-23,"Argentina","South America",1024.803,162,288064,29188,258876,134.346,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"5",2021-01-24,"Argentina","South America",1026.777,90,292023,31987,260036,134.873,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"6",2021-01-25,"Argentina","South America",1031.316,207,292386,32264,260122,135.927,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"7",2021-01-26,"Argentina","South America",1036.118,219,305880,38911,266969,136.995,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"8",2021-01-27,"Argentina","South America",1040.108,182,318033,45710,272323,138.114,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"9",2021-01-28,"Argentina","South America",1043.748,166,327999,51451,276548,139.18,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"10",2021-01-29,"Argentina","South America",1047.564,174,344034,65583,278451,140.248,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"11",2021-01-30,"Argentina","South America",1050.984,156,366384,85361,281023,141.178,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"12",2021-02-01,"Argentina","South America",1057.957,275,375851,94274,281577,143.171,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"13",2021-02-03,"Argentina","South America",1064.316,113,396562,112366,284196,145.659,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"14",2021-02-04,"Argentina","South America",1067.846,161,444018,146301,297717,146.713,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"15",2021-02-06,"Argentina","South America",1076.836,125,471383,163882,307501,148.498,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"16",2021-02-07,"Argentina","South America",1078.174,61,501152,181836,319316,149.05,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"17",2021-02-08,"Argentina","South America",1083.151,227,511582,189264,322318,150.148,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"18",2021-02-09,"Argentina","South America",1086.835,168,513178,190203,322975,151.294,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"19",2021-02-10,"Argentina","South America",1089.203,108,535303,197531,337772,152.413,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"20",2021-02-11,"Argentina","South America",1093.588,200,572928,210279,362649,153.569,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"21",2021-02-12,"Argentina","South America",1096.987,155,591632,223609,368023,154.7,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"22",2021-02-13,"Argentina","South America",1100.474,159,606245,234616,371629,155.577,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"23",2021-02-14,"Argentina","South America",1101.526,48,609605,237483,372122,156.147,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"24",2021-02-15,"Argentina","South America",1103.521,91,609791,237610,372181,156.922,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"25",2021-02-16,"Argentina","South America",1105.824,105,611169,237916,373253,157.752,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
"26",2021-02-17,"Argentina","South America",1109.858,184,612322,238320,374002,158.986,18933.907,0.6,43.9,27.7,16.2,45605823,16.177,79.17,5.5
